ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
36,NEW YORK,NY,Saratoga,36091,"Saratoga County, New York",809.9953352,227377,0,104895,237,93876,716,13797,1251,4749,529,41709,767,9508,687,38737,117,46969,0,25180,895,6124,557,21273,191,1162,258,8570,536,8096,589,826,226,4007,430,4076,429,6.2,0.6,3.8,0.4,41709.0,767.0,5.9,0.4,17.0,0.1,20.7,0.0,11.2,0.4,6.5,0.6,9.4,0.1,0.5,0.1,8.2,0.5,7.7,0.6,0.9,0.2,4.3,0.5,1.8,0.2,0.0328,0.0164,0.082,0.0164,0.1476,0.0,0.4262,0.5902,0.1639,0.1311,1.3114,0.1475,0.377,0.1148,0.4918,0.2623,0.7541,0.541,0.0328,0.0,0.1639,1.4918,0.0492,3.4426,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7960,1002,3.5,0.4,197119
36,NEW YORK,NY,Putnam,36079,"Putnam County, New York",230.3199083,99070,0,38605,164,34847,481,5191,836,2866,401,45905,1680,4951,447,16053,140,20311,0,10017,648,1612,273,20325,83,2537,431,1379,237,343,116,422,134,1661,279,2623,434,5.3,0.9,5.3,0.7,45905.0,1680.0,7.0,0.6,16.2,0.1,20.5,0.0,10.2,0.7,4.6,0.8,20.5,0.1,2.7,0.5,3.6,0.6,0.9,0.3,1.2,0.4,4.8,0.8,2.6,0.4,0.0,0.377,0.0492,0.0492,0.4754,0.0492,0.2623,0.4918,0.1148,0.0164,0.8853,0.0328,0.6885,0.8361,1.5246,0.7705,0.3279,0.1475,0.2295,0.0328,0.3115,1.0492,0.0,3.9345,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4546,605,4.6,0.6,69720
36,NEW YORK,NY,Madison,36053,"Madison County, New York",654.8643423,71359,0,32209,176,26026,467,6549,732,1655,315,28925,808,4215,378,12142,74,13922,62,8977,545,1898,308,4812,63,193,89,1135,169,3079,292,280,95,1467,220,5148,420,9.9,1.1,4.7,0.9,28925.0,808.0,8.8,0.8,17.0,0.1,19.5,0.1,12.7,0.8,7.3,1.2,6.7,0.1,0.3,0.1,3.5,0.5,9.6,0.9,1.1,0.4,5.6,0.8,7.2,0.6,0.1475,0.1475,0.4918,0.1475,0.9343,0.1311,0.4262,0.2623,0.2623,0.1967,1.1475,0.0984,0.1967,0.0,0.1967,0.082,0.2951,0.623,0.1803,0.0984,0.8033,2.0001,0.2623,4.2786,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3376,487,4.8,0.7,64350
36,NEW YORK,NY,Warren,36113,"Warren County, New York",867.2447108,64480,0,39760,96,27553,450,6656,670,1479,245,33605,1162,3989,314,13493,60,11956,34,9503,595,2050,273,3857,15,330,147,1914,256,1954,272,328,126,2561,300,845,203,10.5,1.0,4.4,0.7,33605.0,1162.0,8.3,0.7,20.9,0.1,18.5,0.1,14.9,0.9,7.4,1.0,6.0,0.0,0.5,0.2,4.8,0.6,4.9,0.7,1.2,0.5,9.3,1.1,1.3,0.3,0.1639,0.082,0.2295,0.0984,0.5738,0.0656,0.918,0.1967,0.6066,0.2131,1.9344,0.4098,0.1475,0.1148,0.2623,0.1148,0.5246,0.3279,0.2295,0.5082,0.0328,1.623,0.1148,4.3935,0.0492,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3223,470,5.0,0.7,73066
36,NEW YORK,NY,Genesee,36037,"Genesee County, New York",492.9365296,58112,0,25750,90,23681,346,6501,681,1468,242,29465,749,3277,330,10453,67,11934,0,8664,578,1852,234,5415,32,300,118,987,120,1692,241,174,61,1940,263,783,158,11.4,1.2,4.7,0.8,29465.0,749.0,7.9,0.8,18.0,0.1,20.5,0.0,15.0,1.0,7.8,1.0,9.3,0.1,0.5,0.2,3.8,0.5,6.6,0.9,0.7,0.3,8.2,1.1,1.3,0.3,0.2295,0.1475,0.4262,0.082,0.8852,0.1148,0.5574,0.4918,0.623,0.2951,1.9673,0.459,0.3443,0.1148,0.4591,0.2295,0.4098,0.3934,0.0,0.3279,0.0328,1.1639,0.0164,4.4755,0.0656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,332,4.1,0.6,53956
36,NEW YORK,NY,Ontario,36069,"Ontario County, New York",644.0440921,109472,0,50412,155,44286,555,10203,942,2320,353,35121,1164,5046,452,20570,137,22565,0,13529,654,3539,328,10924,117,1046,250,3699,382,3689,320,453,161,3230,353,3757,290,9.6,0.9,4.1,0.6,35121.0,1164.0,6.6,0.6,18.8,0.1,20.6,0.0,12.5,0.6,8.0,0.7,10.0,0.1,1.0,0.2,7.3,0.8,7.3,0.6,1.0,0.4,7.3,0.8,3.4,0.3,0.1311,0.0328,0.1639,0.0328,0.3606,0.0328,0.7705,0.5574,0.2131,0.3934,1.9344,0.4098,0.4262,0.541,0.9672,0.541,0.6885,0.4918,0.082,0.2131,0.4262,1.9016,0.2131,5.1638,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,454,4.0,0.4,111838
36,NEW YORK,NY,Suffolk,36103,"Suffolk County, New York",911.7768433,1487901,0,575162,383,487981,2141,103887,4430,37012,1363,42204,376,98607,2174,239139,34,322908,5,141672,2578,30099,1235,474510,965,56397,2484,33705,1207,5148,577,12746,952,25656,1101,29735,918,7.1,0.3,4.7,0.2,42204.0,376.0,9.6,0.2,16.1,0.1,21.7,0.0,9.6,0.2,6.2,0.3,31.9,0.1,4.0,0.2,5.9,0.2,0.9,0.1,2.6,0.2,5.3,0.2,2.0,0.1,0.0656,0.1475,0.0656,0.3443,0.623,0.082,0.2295,0.7541,0.082,0.082,1.1476,0.1148,0.8525,0.8525,1.705,0.8525,0.6066,0.1475,0.8197,0.0656,0.2295,1.8689,0.1803,5.3445,0.0984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79676,2756,5.4,0.2,1348914
36,NEW YORK,NY,Nassau,36059,"Nassau County, New York",284.5900653,1356564,0,471835,313,445517,1252,76461,3616,30530,1213,49211,384,82341,2384,232164,86,295105,0,112217,2098,24881,1219,532139,835,68810,2055,50142,1324,863,214,11768,680,31328,1143,20106,804,5.7,0.3,4.3,0.2,49211.0,384.0,8.8,0.3,17.1,0.1,21.8,0.0,8.3,0.2,5.6,0.3,39.2,0.1,5.4,0.2,10.6,0.3,0.2,0.1,2.6,0.2,7.0,0.3,1.5,0.1,0.0164,0.0656,0.0328,0.1475,0.2623,0.0164,0.459,0.7869,0.0,0.0656,1.3115,0.1803,0.918,0.9016,1.8196,0.9016,0.8361,0.082,0.8197,0.1803,0.1311,2.0492,0.3115,5.4426,0.1148,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,64633,2819,4.8,0.2,1235891
36,NEW YORK,NY,Tioga,36107,"Tioga County, New York",518.6100832,49045,0,22486,87,20045,308,5091,653,1557,294,31330,1154,3192,402,9435,104,10495,29,7106,529,1577,243,2403,37,124,106,695,165,3415,371,270,110,1065,178,548,187,10.5,1.3,6.3,1.2,31330.0,1154.0,9.2,1.2,19.2,0.2,21.4,0.1,14.6,1.1,7.9,1.2,4.9,0.1,0.3,0.2,3.1,0.7,15.2,1.7,1.3,0.6,5.3,0.9,1.1,0.4,0.1639,0.7213,0.3607,0.2459,1.4918,0.3115,0.8033,0.6885,0.5082,0.3607,2.3607,0.6393,0.0492,0.0,0.0492,0.0164,0.2623,0.918,0.3115,0.0656,0.0,1.5574,0.082,5.4591,0.1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2139,388,4.4,0.8,39720
36,NEW YORK,NY,Wyoming,36121,"Wyoming County, New York",592.750197,40565,0,18156,104,15815,213,4092,498,1157,189,27150,1093,3022,314,6754,50,8064,147,5232,402,1371,193,4094,25,228,133,423,113,1376,160,153,76,1066,189,2948,195,10.9,1.3,5.9,1.0,27150.0,1093.0,10.4,1.1,16.6,0.1,19.9,0.4,13.9,1.1,8.7,1.2,10.1,0.1,0.6,0.3,2.3,0.6,7.6,0.9,1.0,0.5,6.7,1.2,7.3,0.5,0.1967,0.5738,0.6885,0.5246,1.9836,0.5246,0.3607,0.3607,0.4098,0.5574,1.6886,0.3443,0.459,0.2787,0.7377,0.3934,0.0984,0.5246,0.082,0.1475,0.8197,1.6722,0.1311,6.0821,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,225,4.2,0.6,34806
